species,occurrences,ROCAUC,PRAUC,J,MCC,cutoff
Aeorestes_cinereus,1397,0.9953628006429566,0.9905277543484503,0.9706513958482463,0.9708068580520256,0.5596657788397875
Alces_alces,3421,0.9956094640792239,0.9876319714953078,0.9541069862613272,0.9541569242579914,0.6141518719398653
Antilocapra_americana,2509,0.9989050180609272,0.9969168506043526,0.990434436030291,0.9904423028570744,0.5372715634607605
Antrozous_pallidus,1237,0.9981067450719495,0.9987427835496085,0.9911075181891673,0.9911078420448997,0.31993180287720036
Aplodontia_rufa,243,0.9992717912242375,0.9992960757391955,0.9835390946502058,0.9835724089846207,0.5731926162114658
Bison_bison,679,0.9935255215913552,0.977288018633814,0.9734904270986746,0.9734946501363726,0.5923978264929328
Blarina_brevicauda,3589,0.9987788916646565,0.9956202040040864,0.9933129005293955,0.9933167563044762,0.4913660163816218
Callospermophilus_lateralis,1665,0.999450080711342,0.9996136497116146,0.9951951951951954,0.9951980671107232,0.453007332852799
Callospermophilus_saturatus,93,0.9997687593941496,0.9997724235090126,0.989247311827957,0.9893045053244826,0.5715958098826611
Canis_latrans,8657,0.9985195143086774,0.9973874123019963,0.9815178468291557,0.9815618810483497,0.5889878939527726
Canis_lupus,3507,0.9496171208034052,0.9431359497198654,0.7442258340461934,0.7466263974972822,0.5464170872990024
Castor_canadensis,6109,0.9978040122903928,0.9973593309740861,0.9623506302177116,0.9623854955153609,0.6600955210667909
Cervus_elaphus,2294,0.9980450118538259,0.9974545832213508,0.9777680906713164,0.977794940082642,0.5322424441743062
Condylura_cristata,1010,0.9994995588667778,0.9994660192736421,0.9930693069306931,0.9930814759283461,0.4769624313147818
Corynorhinus_townsendii,1114,0.9993303765684982,0.99903891283947,0.9928186714542191,0.9928202714933353,0.3347154089572765
Cryptotis_parva,1200,0.9991725694444444,0.9964236493572234,0.9966666666666666,0.9966666666666667,0.5957233488073537
Cynomys_ludovicianus,836,0.9987888040566837,0.9934278847336934,0.9940191387559807,0.9940255390348869,0.4963865647535677
Dama_dama,72,0.998070987654321,0.9981307925278522,0.9722222222222223,0.9722222222222222,0.25080380306754907
Dicrostonyx_groenlandicus,282,0.9950392334389617,0.9963811905330056,0.9645390070921986,0.9647574015265816,0.3209232918353241
Dicrostonyx_hudsonius,58,0.9958382877526755,0.9957787721726953,0.9482758620689655,0.9495469152507922,0.37600026913253276
Dicrostonyx_richardsoni,13,1.0,1.0,1.0,1.0,0.6827750494885171
Didelphis_virginiana,5228,0.9990020117090659,0.9965211862224738,0.9936878347360367,0.9936900342951178,0.6594948423875102
Dipodomys_ordii,2336,0.9985557723658285,0.9944976380426997,0.9931506849315068,0.9931521409282772,0.5945242809441682
Eptesicus_fuscus,3731,0.998056228570509,0.9954436587102296,0.9820423478960065,0.9821075752709065,0.6526509419576055
Erethizon_dorsatus,3848,0.9969683133177156,0.9963708322635629,0.9534823284823286,0.9535596423689741,0.5796352975326384
Euderma_maculatum,78,0.9998356344510191,0.9998366747393037,0.9871794871794872,0.9872606263311616,0.2199990551496748
Geomys_bursarius,1051,0.9999393446140281,0.9999380042982005,0.9971455756422456,0.9971460270026248,0.5967030087765983
Glaucomys_sabrinus,1329,0.997273305285066,0.9965862303551875,0.9661399548532732,0.9662846697790045,0.5056166531506521
Glaucomys_volans,1366,0.999040706211722,0.9980244756302068,0.9978038067349928,0.9978040741057688,0.4955107148125761
Gulo_gulo,1160,0.9948718043995244,0.99082488516735,0.9448275862068964,0.9448781458432642,0.5788337876379159
Ictidomys_tridecemlineatus,1678,0.998553104680781,0.9963163548986382,0.9904648390941597,0.9904655426289983,0.5914984242748206
Lasionycteris_noctivagans,1224,0.9969426155538469,0.9953039147240605,0.977124183006536,0.977145054369904,0.6239115410258335
Lasiurus_blossevillii,215,0.9998269334775554,0.9998286163474549,0.9860465116279071,0.9861425171952498,0.481637573335762
Lasiurus_borealis,1806,0.9989827191017022,0.9971845839090392,0.9867109634551494,0.9867164088648668,0.5824850068680185
Lemmiscus_curtatus,581,0.9998400289132927,0.9998489416030424,0.9948364888123926,0.9948379623811684,0.35755774639800414
Lemmus_trimucronatus,374,0.9958391718379136,0.9953510829310221,0.962566844919786,0.9626907371412557,0.5247113202926917
Lepus_americanus,2774,0.996278594259498,0.9949507248188219,0.9459264599855803,0.9461057373404262,0.5938777512685294
Lepus_arcticus,146,0.9960827547382247,0.9956283934240515,0.9589041095890409,0.9597148699373931,0.5142450033131767
Lepus_europaeus,79,0.9996795385354911,0.9996854977340209,0.9873417721518987,0.987420882906575,0.1412945433743045
Lepus_townsendii,788,0.9996022185575513,0.999568298871269,0.9923857868020305,0.992388983195204,0.6005142684892291
Lontra_canadensis,3731,0.9954394501694317,0.9916629170404785,0.9501474135620476,0.9503551162368481,0.5136356391983302
Lynx_canadensis,1112,0.998434750401118,0.9982181821666722,0.9739208633093526,0.9739244075971489,0.5707166520528849
Lynx_rufus,4967,0.9978305983979872,0.9971283164501534,0.975639218844373,0.9757333713708787,0.6449247846038472
Marmota_broweri,29,0.9976218787158144,0.997620463167431,0.9655172413793105,0.9660917830792959,0.42573264375243314
Marmota_caligata,536,0.9988600607039428,0.9988880435414057,0.9720149253731343,0.9720572196605272,0.4616224392034294
Marmota_flaviventris,1211,0.9992171949805014,0.9978074374607583,0.9933938893476466,0.9933952441130014,0.43434364773743606
Marmota_monax,3675,0.9987544078856032,0.9957363332153601,0.9782312925170067,0.9782457791182929,0.573484088425772
Marmota_vancouverensis,15,1.0,1.0,1.0,1.0,0.6548529007769932
Martes_americana,1209,0.9947180677589706,0.9906772386177566,0.9619520264681556,0.9621745460238657,0.46863076078789
Mephitis_mephitis,4776,0.9989138400335008,0.9971128648675127,0.9849246231155777,0.9849249685491743,0.7503119949111994
Microtus_chrotorrhinus,122,0.9988578339156141,0.9988309547496317,0.9754098360655736,0.9754426047765858,0.4213283826507141
Microtus_longicaudus,1764,0.9995672777803486,0.9989562125986287,0.9880952380952381,0.9880992073984415,0.4497476771289797
Microtus_miurus,195,0.9998685075608154,0.9998692339174964,0.9897435897435898,0.9897435897435898,0.33911199572753536
Microtus_montanus,1169,0.9991350550762097,0.9995600219364633,0.9974337040205303,0.9974369885236286,0.7183860361830461
Microtus_ochrogaster,942,0.9976356940331139,0.998325645262426,0.9851380042462845,0.9851380042462845,0.5289099005176903
Microtus_oeconomus,780,0.9978081854043391,0.9935280615962984,0.9756410256410257,0.975641827450878,0.5259688928045378
Microtus_oregoni,245,1.0,1.0,1.0,1.0,0.23975401233196197
Microtus_pennsylvanicus,4061,0.9936201018680828,0.9889413674369844,0.9359763605023392,0.9362490138233808,0.6073558606860745
Microtus_pinetorum,788,0.998693924089773,0.9902146055440226,0.9949238578680204,0.9949238578680203,0.4398165245068829
Microtus_richardsoni,204,0.9950499807766244,0.9784793528089426,0.9901960784313726,0.9901960784313726,0.3984561366163467
Microtus_townsendii,206,0.994591855971345,0.9970188223460263,0.9854368932038835,0.985541407566779,0.5164682809747789
Microtus_xanthognathus,129,0.9948921338861848,0.9953494290173763,0.9379844961240309,0.9384357485386723,0.454036103914384
Mus_musculus,3157,0.9972786741060109,0.9943961337919925,0.974025974025974,0.9740893082913568,0.6019305145211322
Mustela_erminea,2087,0.9847131339211938,0.982296164497204,0.8725443219932918,0.874746628997105,0.4353965051245202
Mustela_frenata,1665,0.9973797220644067,0.995630318913532,0.9813813813813814,0.9814027993821801,0.6058430881578767
Mustela_nigripes,104,0.9906619822485206,0.9672846546959811,0.9903846153846154,0.990430401872025,0.6466629940561981
Mustela_nivalis,492,0.9963728600700641,0.9958085633098427,0.9512195121951219,0.9513452849726378,0.49437544270643585
