species,occurrences,AUC,J,cutoff
Mus_musculus,4591,0.9385163105241137,0.7148769331300371,0.5883974967903159
Ovis_canadensis,4175,0.9656232923374807,0.811497005988024,0.5349582917274844
Ovis_dalli,630,0.982365835222978,0.8873015873015873,0.5436096855453862
Antilocapra_americana,4293,0.9318907604723186,0.7265315630095504,0.5659563919939326
Sorex_palustris,1107,0.9631086238594997,0.807588075880759,0.5077583519236093
Myotis_lucifugus,2282,0.9365720638061389,0.7204206836108678,0.5740887191293723
Myotis_keenii,202,0.9807004215273013,0.896039603960396,0.49362093489057296
Lynx_canadensis,1338,0.9479925641420945,0.7638266068759343,0.5413351164241592
Myotis_evotis,801,0.953645645814143,0.7727840199750311,0.4805099135157411
Microtus_miurus,244,0.966423676431067,0.8524590163934427,0.46098204596086767
Sorex_rohweri,37,0.9780861943024105,0.8648648648648649,0.7886933263850086
Myodes_gapperi,3548,0.9259498340681954,0.6916572717023675,0.5291100495596148
Condylura_cristata,1385,0.9619194828552438,0.7999999999999998,0.5123080892912026
Myotis_thysanodes,687,0.9611637628742566,0.7962154294032024,0.5288751686424383
Microtus_pennsylvanicus,6136,0.9057145754467617,0.6486310299869622,0.5145553892398256
Thomomys_talpoides,2489,0.9444223123325597,0.7557251908396947,0.5193751479981286
Ictidomys_tridecemlineatus,2346,0.9415370451527659,0.7404092071611252,0.5516634411673244
Sylvilagus_transitionalis,121,0.9835393757257018,0.9256198347107438,0.5274613357629009
Urocyon_cinereoargenteus,6757,0.9500750256548556,0.7441172117803758,0.6212659946901138
Microtus_oeconomus,1063,0.949466755282667,0.768579492003763,0.543216258401358
Gulo_gulo,1375,0.9403382479338842,0.7374545454545456,0.5970258864483573
Lepus_americanus,4157,0.9394162510910326,0.7248015395718066,0.47401274689751005
Perognathus_fasciatus,464,0.9538147480677764,0.8297413793103448,0.5155918530732936
Sorex_bendirii,247,0.9659230605320527,0.834008097165992,0.5568421718707901
Lontra_canadensis,6068,0.9507145506279306,0.7536255767963085,0.5713452144723956
Geomys_bursarius,1750,0.960385306122449,0.8085714285714287,0.46896229425289643
Urocitellus_richardsonii,973,0.9845610517898998,0.895169578622816,0.5704746672751179
Neurotrichus_gibbsii,787,0.9616383771225231,0.7878017789072427,0.5855951373538144
Callospermophilus_saturatus,212,0.9830455678177286,0.9103773584905661,0.4699474347506336
