longitude,latitude
-123.344365,38.593618
-122.505697,45.488588
-122.671355,48.018675
-122.045792,36.992783
-123.015494,38.361063
-123.510672,38.759883
-122.590732,37.927637
-124.019937,44.959332
-122.3295,47.6062
-122.67224,45.519791
-124.019937,44.959332
-122.436393,37.487664
-122.296501,47.749324
-121.996311,47.528949
-122.937164,47.081797
-122.074223,37.239184
-122.758054,37.997574
-122.901258,38.123351
-122.052453,37.019861
-122.210586,37.181839
-122.878688,38.038933
-124.399422,42.253267
-122.239144,37.264071
-122.678953,49.045873
-123.15498,44.014337
-122.269997,46.915001
-124.137001,40.898102
-124.147003,40.8937
-121.913855,37.001361
-123.805747,39.330028
-121.980537,37.199225
-121.042664,48.799492
-121.680278,47.445
-122.668042,49.030292
-122.70165,45.486246
-122.382438,37.46115
-123.29199,38.550244
-123.989005,40.856567
-122.807622,38.055574
-122.787876,37.967817
-122.985717,47.811961
-122.947604,47.05239
-122.654265,49.016461
-123.907866,40.308229
-121.963735,37.199239
-122.274932,37.270874
-122.836791,38.083444
-122.203843,37.308872
-123.232906,44.068226
-122.357269,47.80769
-122.066578,37.234886
-123.311387,44.065454
-124.026015,41.362072
-122.257124,47.931031
-122.3,49.05
-124.153717,40.788816
-122.292897,47.185378
-122.900383,47.049282
-121.899308,37.15783
-123.205967,38.501532
-122.97637,38.432518
-124.044103,41.325069
-122.24227475442632,47.785052688368054
-122.24227475442632,47.785052688368054
-122.24227475442632,47.785052688368054
-123.65,45.333333
-123.866667,44.55
-123.866667,44.55
-123.883333,44.55
-123.866667,44.55
-123.9,44.5
-123.65,45.333333
-123.733333,44.333333
-123.65,45.333333
-122.24227475442632,47.785052688368054
-122.264056,46.655303
-122.24227475442632,47.785052688368054
-123.733333,44.333333
-123.583333,44.25
-123.8,44.516667
-123.883333,44.433333
-122.24227475442632,47.785052688368054
-122.24227475442632,47.785052688368054
-123.8,44.516667
-123.733333,45.166667
-123.816667,44.233333
-123.583333,44.25
-123.65,45.333333
-122.3308,47.6064
-122.2663,49.0041
-122.3308,47.6064
-122.2663,49.0041
-122.3308,47.6064
-122.3308,47.6064
-122.2663,49.0041
-122.2042,47.7625
-122.712158,48.090969
-124.050227,40.856368
-122.227263,37.350917
-123.967758,40.337867
-122.572175,37.957297
-123.496749,38.743663
-123.752875,39.277236
-121.992683,37.002225
-123.006325,38.537003
-124.081842,40.873363
-122.285625,49.02721
