longitude,latitude
-125.753,49.0713
-106.993263,38.962353
-124.0999,46.8934
-48.5432,48.5432
-114.2085,47.9996
-114.2085,47.9996
-122.67224,45.519791
-113.8156,48.6002
-106.98917,38.968172
-124.0999,46.8934
-113.9746,48.6445
-114.0309,47.8736
-122.67224,45.519791
-122.702034,37.906893
-123.876207,46.142282
-122.069631,37.299362
-122.397234,37.251629
-122.176,41.37
-122.5,49.27
-123.852,44.8856
-113.6134,44.9508
-123.25399,44.542159999056864
-113.947367,46.821717
-113.9347,46.819233
-106.383077,34.792834
-122.477997,47.429001
-124.083,40.866402
-109.225998,31.9119
-105.320999,36.5578
-109.225998,31.9119
-106.261002,38.781898
-122.492996,47.399799
-122.477997,47.429001
-122.656403,38.218132
-123.247095,44.539258
-124.027888,41.353713
-123.485511,39.702925
-105.747436,32.94332
-105.966336,41.309734
-120.211656,39.438132
-123.290235,44.564387
-123.330751,44.564387
-121.888445,41.996764
-150.895985,61.708018
-111.860634,39.91931
-121.61427,40.776405
-122.2327,43.2634
-122.3,49.05
-123.2,49.266667
-122.3,49.05
-122.3115,43.191
-122.3,49.05
-124.221629,43.366201
-124.016225,44.962331
-118.833333,50.833333
-121.0,48.0
-123.65,45.335
-122.3312,43.2055
-122.3115,43.191
-123.896111,44.538889
-123.62,44.29
-122.238079,43.260694
-123.896111,44.538889
-119.766667,51.266667
-122.810839,43.275119
-122.3115,43.191
-122.47,43.21
-123.648889,45.213056
-121.0,48.0
-123.939361,44.545
-123.795,44.261111
-121.82,41.33
-123.92,45.258056
-122.810839,43.275119
-122.3312,43.2055
-123.896111,44.538889
-122.85,48.55
-123.791111,44.461111
-123.62,44.29
-122.238079,43.260694
-122.3312,43.2055
-122.3312,43.2055
-122.3312,43.2055
-123.62,44.29
-122.85,48.55
-122.238079,43.260694
-123.62,44.29
-123.735,45.166944
-122.27825,43.320035
-122.3312,43.2055
-122.3115,43.191
-123.62,44.29
-123.92,45.258056
-123.92,45.258056
-122.22,41.33
-122.27825,43.320035
-124.366667,49.35
-123.81,44.225
-119.766667,51.266667
-122.3115,43.191
-122.810839,43.275119
-123.62,44.29
-121.82,41.33
-121.96,41.44
-123.795,44.261111
-113.7912,47.638
-122.27825,43.320035
-122.3312,43.2055
-122.3312,43.2055
-122.7118,43.731
-111.8333,41.7333
-122.2663,49.0041
-122.2663,49.0041
-122.2663,49.0041
-111.8333,41.7333
-111.8333,41.6667
-111.8333,41.6667
-122.2663,49.0041
-122.2663,49.0041
-113.866667,49.083333
-113.824831,49.107101
-113.764099,49.062283
-113.866667,49.083333
-113.866667,49.083333
-108.126998,49.086523
-113.866667,49.083333
-122.5,49.267
-121.68697559364198,45.17363792960247
-123.96423167256911,45.1546165463578
-123.22265925575934,47.42141112202557
-122.6759069577248,45.52332614050349
-123.80373182668383,45.36531648104291
-124.09090809529941,46.27560869638922
-121.96358514173993,46.8043906811046
-123.70422767595186,45.2772181048988
-124.66681227839192,48.15469463663478
-123.01677844319572,48.53411075097395
-122.43373342103537,47.15531975902265
-124.01592923504239,44.9622176037053
-124.07622524063291,44.67501948579689
-123.70422767595186,45.2772181048988
-124.38520048740932,47.950297968536056
-124.0741949183348,46.28719079545899
-122.89267394841127,48.47861204952734
-124.66681227839192,48.15469463663478
-122.6759069577248,45.52332614050349
-122.43373342103537,47.15531975902265
-123.22265925575934,47.42141112202557
-113.37520778416851,48.29319732354092
-122.70847127316449,48.57391378166935
-123.86209760132509,47.969983216965495
-113.37520778416851,48.29319732354092
-122.70847127316449,48.57391378166935
-119.29895913442917,46.992529661294896
-122.70847127316449,48.57391378166935
-122.33174026252954,47.60611928532362
-124.0741949183348,46.28719079545899
-123.22265925575934,47.42141112202557
-122.6759069577248,45.52332614050349
-122.70847127316449,48.57391378166935
-122.4976282123849,37.5049645844226
-122.6759069577248,45.52332614050349
-122.70847127316449,48.57391378166935
-122.70847127316449,48.57391378166935
-117.19245753915831,45.051578359540066
-122.4976282123849,37.5049645844226
-123.96423167256911,45.1546165463578
-123.06598046020795,48.566410226038606
-123.01677844319572,48.53411075097395
-122.70847127316449,48.57391378166935
-122.89267394841127,48.47861204952734
-123.0856803934634,48.540810055292795
-122.70847127316449,48.57391378166935
-123.96423167256911,45.1546165463578
-122.45483360364359,47.1380196191836
-122.33174026252954,47.60611928532362
