longitude,latitude
-121.495492,46.864358
-120.763814,49.070654
-121.632582,46.912835
-121.135058,47.025422
-121.729513,46.8022
-121.645217,46.915466
-120.681105,47.337821
-121.734874,46.787174
-120.935058,47.459388
-120.763612,49.070531
-121.728305,46.801008
-121.655913,46.919258
-121.733857,46.792662
-121.586981,46.919868
-121.68998,46.906845
-121.730819,46.79718
-121.736533,46.787561
-121.500229,46.935104
-121.732635,46.796631
-120.752849,48.50668
-121.879179,46.969145
-120.838875,47.506275
-121.661226,46.924564
-121.632582,46.912835
-121.736831,46.796702
-120.764202,49.077527
-121.586275,46.920645
-121.786205,46.854647
-121.075798,47.80254
-121.664915,46.918614
-120.897919,47.386526
-121.657015,46.919162
-121.586981,46.919868
-122.196237,46.272617
-121.736755,46.789719
-121.733041,46.78868
-120.679312,48.734805
-121.661203,46.919288
-121.643715,46.915814
-121.734973,46.785316
-120.706338,48.551555
-121.665108,46.918262
-121.734697,46.786843
-122.224425,46.276785
-121.658423,46.919345
-121.483212,46.92811
-121.713463,46.903978
-121.734888,46.798608
-121.586981,46.919868
-121.645217,46.915466
-121.66433,46.919033
-121.736928,46.78875
-121.675368,46.933842
-121.736228,46.787381
-121.743125,46.787333
-121.313227,46.554838
-120.763818,49.070438
-121.723358,46.804158
-122.048149,46.251479
-120.763412,49.070251
-121.731013,46.796217
-120.57849,47.328915
-120.763531,49.070456
-121.675522,46.933838
-121.4955,46.864413
-120.763543,49.07052
-121.668625,46.91758
-121.058944,48.467525
-121.568,46.3461
-120.66092002088673,48.71973361387969
-121.643543,46.91451
-120.916193,47.256573
-121.520178,46.905605
-122.229667,46.27673
-121.643698,48.954855
-121.732412,46.791068
-120.763711,49.07035
-121.676788,46.912273
-120.807928,46.911023
-121.656493,46.920629
-120.585287,47.472638
-120.763339,49.099835
-121.734634,46.801537
-121.058892,48.467645
-121.736642,46.786305
-121.598198,46.940972
-120.838249,47.507387
-121.731719,46.604671
-121.738144,46.793044
-121.130575,49.570253
-122.22027,46.278792
-121.41267,46.640704
-121.65536,46.919206
-121.664825,46.918385
-120.763291,49.072276
-120.763632,49.070723
-120.667731,47.799683
-121.668551,46.917656
-121.731398,46.853707
-121.689646,46.905793
-121.636053,46.912696
-121.621076,46.942822
-121.67427,46.910192
-121.664623,46.918491
-120.667988,48.76202
-121.654062,46.919314
-121.05901,48.467843
-120.355137,48.493128
-121.632582,46.912835
-121.341955,45.973637
-121.605263,46.897606
-121.735298,46.798302
-121.644788,46.916652
-121.73049,46.794066
-121.653722,46.900655
-121.557412,47.008294
-121.71797,46.789833
-121.599362,46.276793
-121.495113,46.862707
-121.265772,46.93852
-120.276641,48.312071
-121.141001,49.568213
-121.736411,46.794018
-121.737351,46.789925
-121.736711,46.786305
-121.738118,46.791165
-120.766602,49.072952
-121.489342,47.167877
-121.596946,47.040105
-121.059171,48.46753
-121.185753,47.242724
-121.05631,48.469207
-121.644032,46.915681
-120.912447,47.607658
-120.763741,49.070549
-120.586655,47.093365
-121.656022,46.919203
-120.820496,47.420216
-121.689005,46.907088
-121.665006,46.918988
-122.031848,47.00461
-121.063619,47.513376
-121.735663,46.798028
-121.735612,46.786112
-120.620536,47.301059
-121.689784,46.906396
